DATE RPTD,DATE OCC,TIME OCC,AREA,AREA NAME,DIST NO,CRIME,VICT SEX,PREMISES,WEAPON,LOCATION
1/1/2024 0:00,12/31/2023 0:00,1700,20,Olympic,2024,VEHICLE - STOLEN,,STREET,,OXFORD                       AV
1/1/2024 0:00,12/29/2023 0:00,1500,11,Northeast,1151,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),M,STREET,,1600 N  ALEXANDRIA                   AV
1/1/2024 0:00,12/30/2023 0:00,1900,3,Southwest,338,BURGLARY,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,1300 W  30TH                         ST
1/1/2024 0:00,12/31/2023 0:00,2020,7,Wilshire,759,ROBBERY,M,SIDEWALK,REVOLVER,NORTON
1/1/2024 0:00,12/29/2023 0:00,2330,11,Northeast,1151,BURGLARY FROM VEHICLE,F,"VEHICLE, PASSENGER/TRUCK",,1300 N  NEW HAMPSHIRE                AV
1/1/2024 0:00,12/31/2023 0:00,1618,5,Harbor,518,SHOPLIFTING - PETTY THEFT ($950 & UNDER),X,OTHER STORE,,200 E  PACIFIC COAST                HY
1/1/2024 0:00,12/31/2023 0:00,2120,1,Central,152,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",F,DRUG STORE,,600 W  7TH                          ST
1/1/2024 0:00,12/31/2023 0:00,2100,7,Wilshire,747,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,1000 S  LONGWOOD                     AV
1/1/2024 0:00,12/31/2023 0:00,1500,6,Hollywood,643,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,DRIVEWAY,,1600 N  GARDNER                      ST
1/1/2024 0:00,12/31/2023 0:00,2000,19,Mission,1991,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",F,STREET,,CABRITO                      RD
1/1/2024 0:00,12/30/2023 0:00,1930,10,West Valley,1029,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",F,STREET,,6900    HASKELL                      AV
1/1/2024 0:00,12/31/2023 0:00,2200,5,Harbor,567,BURGLARY,F,SINGLE FAMILY DWELLING,,300 W  16TH                         ST
1/1/2024 0:00,12/31/2023 0:00,1418,19,Mission,1901,TRESPASSING,F,SINGLE FAMILY DWELLING,,15800    YARNELL                      ST
1/1/2024 0:00,12/31/2023 0:00,2200,11,Northeast,1128,BURGLARY,M,SINGLE FAMILY DWELLING,,6600 N  FIGUEROA                     ST
1/1/2024 0:00,12/30/2023 0:00,2230,1,Central,155,THEFT PLAIN - PETTY ($950 & UNDER),M,PARKING LOT,,200 E  6TH                          ST
1/1/2024 0:00,12/18/2023 0:00,1400,11,Northeast,1149,SHOPLIFTING - PETTY THEFT ($950 & UNDER),X,DRUG STORE,,5400 N  FIGUEROA                     ST
1/1/2024 0:00,12/29/2023 0:00,1735,15,N Hollywood,1501,BURGLARY,F,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",8000    LLOYD                        AV
1/1/2024 0:00,12/31/2023 0:00,20,19,Mission,1936,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),M,SIDEWALK,,11500    ACALA                        AV
1/1/2024 0:00,12/28/2023 0:00,1800,15,N Hollywood,1531,BATTERY - SIMPLE ASSAULT,F,MOTEL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",12500    BURBANK                      BL
1/1/2024 0:00,12/31/2023 0:00,900,10,West Valley,1077,VEHICLE - STOLEN,,STREET,,17200    VENTURA                      BL
1/1/2024 0:00,12/31/2023 0:00,1619,17,Devonshire,1788,SHOPLIFTING - PETTY THEFT ($950 & UNDER),X,DEPARTMENT STORE,,8900    BALBOA                       BL
1/1/2024 0:00,12/29/2023 0:00,1220,15,N Hollywood,1549,SHOPLIFTING - PETTY THEFT ($950 & UNDER),X,LIQUOR STORE,,11200    BURBANK                      BL
1/1/2024 0:00,12/22/2023 0:00,1010,20,Olympic,2022,BURGLARY FROM VEHICLE,F,PARKING LOT,,400 S  MANHATTAN                    PL
1/1/2024 0:00,12/31/2023 0:00,2307,4,Hollenbeck,455,CRIMINAL THREATS - NO WEAPON DISPLAYED,F,DRIVEWAY,VERBAL THREAT,800 N  ST LOUIS                     ST
1/1/2024 0:00,12/31/2023 0:00,1700,2,Rampart,248,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",F,STREET,,400    LUCAS                        AV
1/1/2024 0:00,12/30/2023 0:00,2220,15,N Hollywood,1591,BURGLARY,M,GARAGE/CARPORT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3600    GOODLAND                     AV
1/1/2024 0:00,12/28/2023 0:00,1400,15,N Hollywood,1538,BURGLARY,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,5700    FAIR                         AV
1/1/2024 0:00,12/27/2023 0:00,1845,15,N Hollywood,1595,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",X,OTHER BUSINESS,,12000    VENTURA                      BL
1/1/2024 0:00,12/31/2023 0:00,2200,13,Newton,1383,BURGLARY,M,RESTAURANT/FAST FOOD,UNKNOWN WEAPON/OTHER WEAPON,5900 S  BROADWAY
1/1/2024 0:00,12/28/2023 0:00,2030,15,N Hollywood,1501,BURGLARY,M,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",7600    COLDWATER CANYON             CT
